,id,host_id,minimum_nights,last_review,reviews_per_month
0,2539,2787,1,2018-10-19,0.21
1,2595,2845,1,2019-05-21,0.38
2,3647,4632,3,,
3,3831,4869,1,2019-07-05,4.64
4,5022,7192,10,2018-11-19,0.1
5,5099,7322,3,2019-06-22,0.59
6,5121,7356,45,2017-10-05,0.4
7,5178,8967,2,2019-06-24,3.47
8,5203,7490,2,2017-07-21,0.99
9,5238,7549,1,2019-06-09,1.33
10,5295,7702,5,2019-06-22,0.43
11,5441,7989,2,2019-06-23,1.5
12,5803,9744,4,2019-06-24,1.34
13,6021,11528,2,2019-07-05,0.91
14,6090,11975,90,2018-10-31,0.22
15,6848,15991,2,2019-06-29,1.2
16,7097,17571,2,2019-06-28,1.72
17,7322,18946,1,2019-07-01,2.12
18,7726,20950,3,2019-06-22,4.44
19,7750,17985,7,,
20,7801,21207,3,2011-12-28,0.07
21,8024,22486,2,2019-07-01,1.09
22,8025,22486,1,2019-01-01,0.37
23,8110,22486,2,2019-07-02,0.61
24,8490,25183,2,2019-06-19,0.73
25,8505,25326,1,2019-06-23,1.37
26,8700,26394,4,,
27,9357,30193,10,2017-08-13,0.49
28,9518,31374,3,2019-06-15,1.11
29,9657,21904,14,2019-04-19,0.24
30,9668,32294,3,2019-06-01,2.04
31,9704,32045,2,2019-06-14,1.42
32,9782,32169,4,2019-06-15,1.65
33,9783,32294,3,2019-07-01,2.37
34,10452,35935,1,2019-05-12,0.66
35,10962,9744,4,2019-06-21,1.41
36,11452,7355,60,,
37,11708,44145,2,2019-06-22,1.96
38,11943,45445,1,,
39,12048,7549,1,2019-07-05,1.81
40,12192,46978,2,2019-06-21,2.08
41,12299,47610,3,2019-05-27,0.39
42,12303,47618,7,2018-09-30,0.23
43,12318,16800,4,2019-06-16,0.69
44,12343,47727,7,2019-06-13,0.84
45,12627,49670,29,2019-06-05,0.49
46,12937,50124,3,2019-07-01,2.25
47,12940,50148,7,2019-05-25,0.52
48,13050,50846,3,2017-01-01,0.1
49,13394,52335,3,2019-06-17,1.16
50,13808,54275,1,2019-06-16,1.01
51,14287,56094,2,2019-07-07,0.63
52,14290,56104,3,2019-05-17,0.7
53,14314,56246,2,2019-06-29,2.82
54,14322,56284,7,2019-03-25,0.22
55,14377,56512,30,2019-06-22,0.9
56,14991,59023,5,2019-05-18,0.17
57,15220,59734,2,2019-06-09,2.49
58,15338,32169,4,2019-06-04,1.19
59,15341,60049,30,2019-06-29,0.3
60,15385,60252,2,2019-06-30,0.38
61,15396,60278,180,2018-11-03,0.12
62,15711,61491,2,2019-03-30,0.57
63,16326,63588,30,2019-01-26,1.33
64,16338,63613,7,2017-09-30,0.23
65,16421,63924,30,2019-05-16,1.65
66,16458,64056,3,2017-09-24,0.16
67,16580,64442,1,2019-07-01,4.72
68,16595,64522,1,2019-06-23,1.4
69,16821,4396,1,2019-06-21,1.26
70,16974,65837,4,2019-06-23,1.64
71,17037,66035,9,2018-05-14,0.43
72,17092,66243,7,2019-06-01,0.43
73,17693,68428,2,2019-06-18,1.6
74,17747,68599,2,2019-06-26,0.92
75,18127,69829,5,2019-01-02,0.2
76,18152,69942,1,2019-07-06,1.5
77,18198,70091,30,2019-05-31,0.22
78,18590,71512,3,2019-06-16,1.28
79,18728,71876,3,2019-05-28,1.65
80,18764,72014,3,2019-04-22,0.54
81,19159,73051,31,2019-03-23,0.49
82,19169,73128,5,2019-06-30,0.62
83,19282,73469,6,2019-06-15,0.15
84,19319,44263,30,2019-04-08,0.84
85,19601,74303,1,2016-08-04,0.24
86,19812,74857,3,2018-08-09,0.53
87,20299,62407,3,2019-06-30,1.73
88,20300,76627,1,2016-02-14,0.05
89,20611,72014,3,2019-06-22,1.54
90,20724,961342,4,2019-05-26,0.28
91,20734,78460,4,2019-06-27,3.4
92,20755,51038,7,2019-05-31,0.2
93,20853,79070,7,2019-05-21,0.3
94,20913,79402,5,2018-07-22,1.57
95,21293,44145,3,2019-06-18,1.05
96,21456,42032,3,2019-07-07,0.71
97,21644,82685,1,2018-10-09,0.11
98,21794,83257,30,2019-05-01,0.27
99,22911,87773,7,2018-10-28,1.23
100,22918,32294,3,2019-01-03,0.87
101,23135,11481,2,2019-06-24,2.09
102,23501,63318,2,2012-11-01,0.6
103,23686,93790,4,2019-05-18,0.55
104,24143,97219,3,2019-05-29,3.02
105,24285,97797,30,2018-11-02,0.79
106,25235,87773,90,2019-06-28,1.46
107,25406,105538,30,2018-05-26,0.4
108,25696,107628,2,2019-06-23,1.61
109,26012,109589,30,2017-03-17,0.2
110,26362,59734,2,2019-06-16,3.0
111,26520,51038,2,2019-06-02,0.2
112,26559,112793,7,2017-12-11,0.13
113,26785,42273,30,2018-12-30,4.22
114,26933,72062,2,2017-08-09,0.06
115,26954,115157,5,2015-12-02,0.38
116,26969,115307,3,2019-06-23,3.01
117,27006,115560,6,2019-04-27,0.27
118,27385,72062,1,2019-06-07,1.05
119,27531,118971,2,2019-05-20,3.2
120,27644,119510,2,2019-07-01,2.03
121,27659,119588,2,2018-12-30,0.24
122,27759,119900,7,2019-06-26,0.12
123,27883,120223,4,2011-12-10,0.23
124,28321,65091,2,2018-10-05,0.08
125,28396,6197784,1,2011-09-18,0.08
126,28907,124352,5,2017-08-15,0.19
127,29012,124797,15,2017-08-17,0.33
128,29013,35935,3,2019-05-14,0.58
129,29455,126607,3,2019-06-20,1.42
130,29628,127608,3,2019-07-03,2.35
131,29683,125857,5,2019-06-25,0.66
132,30031,129352,3,2019-05-20,1.86
133,30927,120335,3,2019-06-14,0.29
134,31130,117287,2,2019-05-26,0.45
135,31555,135619,29,2019-07-01,0.25
136,31902,137292,2,2019-01-01,0.02
137,31994,137814,2,2019-06-24,3.89
138,32023,137974,3,2019-06-23,2.09
139,32037,116599,4,2019-07-01,0.77
140,32100,138579,29,2017-07-30,0.03
141,32289,139612,3,2018-06-11,0.1
142,32331,139874,2,2016-04-24,0.04
143,32363,140025,2,2011-09-19,0.01
144,32965,137974,3,2019-06-20,1.72
